Type,Identification,Field,Locale,Market,Status,Default content,Translated content
PRODUCT,'9763547316567,meta_title,nl,,,Gift Card – The Perfect Gift for Outdoor Enthusiasts | Woxna,
PRODUCT,'9763547316567,meta_description,nl,,,"A Woxna Gift Card is the perfect gift for outdoor enthusiasts, bushcrafters, and campers. It's delivered instantly—ideal for last-minute gifts!",
PRODUCT,'10000520708439,title,nl,,,Woxna hand stamped Logo T-shirt,
PRODUCT,'10000520708439,body_html,nl,,,"<p data-start=""499"" data-end=""672"" class="""">Every Woxna t-shirt is one of a kind. Made from soft organic cotto<meta http-equiv=""Content-Type"" content=""text/html;charset=UTF-8""><img data-orig-src=""https://se-prod.asyncgw.teams.microsoft.com/v1/objects/0-sse-d4-7ff06b285c68f556ceee36a9f9ddfb85/views/thumbnail_resized"" id=""menur8gv4"" data-tid=""lazy-image-2"" data-inp=""lazy-image"" data-image-type=""none"" class=""fui-Image ui-known-width-and-height ___solm2k0 fj3muxo f1akhkt f1aperda f1lxtadh f1fabniw f1ewtqcl f14t3ns0 fjppr6c f1ps3kmd f11ysow2 f1yrx710 fk73vx1 f1h7u52p fzmvtbu f4cll0y f1vjic97 f1ynmbpn f11qmguv fy77jfu"">n and<strong> </strong>hand-stamped by ourselves here in Sweden, each piece carries a mark that's meant to last over 100 washes. Organic cotton grown and woven in Bangladesh. Fair-wear certified, vegan approved, and GOTS-compliant. </p>
<p data-start=""674"" data-end=""738"" class="""">Slightly imperfect, proudly personal - just like everything we do!</p>",
PRODUCT,'10000520708439,handle,nl,,,woxna-hand-stamped-logo-t-shirt,
PRODUCT,'10000520708439,product_type,nl,,,"",
PRODUCT,'10030622048599,title,nl,,,Söderfors Foldable Saw,
PRODUCT,'10030622048599,body_html,nl,,,"<ul>
<li>Crafted with Damasteel®, one of the finest steels in the world, produced just two hours from our own factory in Hälsingland</li>
<li>First-of-Its-Kind Damascus Steel Sawblade – Unmatched toughness, edge retention, and visual beauty with its 3D pattern effect<meta charset=""utf-8"">
</li>
<li data-pm-slice='1 1 [""bullet_list"",{},""list_item"",{}]'>Delivered with the Alfta leather sheath in Cognac – Specifically designed for a perfect fit and a timeless aesthetic</li>
<li data-pm-slice='1 1 [""bullet_list"",{},""list_item"",{}]'>Limited edition, collectors item</li>
</ul>",
PRODUCT,'10030622048599,handle,nl,,,damascus-saw,
PRODUCT,'10030622048599,product_type,nl,,,Saw,
PRODUCT,'10030622048599,meta_description,nl,,,"Damascus Steel Foldable Saw from Woxna – Unmatched toughness, edge retention, and visual beauty.  Made with Damasteel® in Hälsningland, Sweden. ",
PRODUCT,'10031775056215,title,nl,,,Gnarp – Outdoor Leather Multi Guard,
PRODUCT,'10031775056215,body_html,nl,,,"<div class=""ListContainerWrapper SCXW124744381 BCX0"">
<ul>
<li class=""Paragraph SCXW124744381 BCX0""><span class=""TextRun SCXW124744381 BCX0"" data-contrast=""auto""><span class=""NormalTextRun SCXW124744381 BCX0"">Versatile </span><span class=""NormalTextRun SCXW124744381 BCX0"">leather guard</span><span class=""NormalTextRun SCXW124744381 BCX0""> for fire-starting, kneeling, sitting, carving, and </span><span class=""NormalTextRun SCXW124744381 BCX0"">anything else you can think of</span></span></li>
<li class=""Paragraph SCXW124744381 BCX0"">
<span class=""TextRun SCXW124744381 BCX0"" data-contrast=""auto""><span class=""NormalTextRun SCXW124744381 BCX0"">Superfat leather for e</span><span class=""NormalTextRun SCXW124744381 BCX0"">nhanced</span><span class=""NormalTextRun SCXW124744381 BCX0""> fire and water resistance</span></span><span data-ccp-props=""{}"" class=""EOP SCXW124744381 BCX0""><br></span><span class=""TextRun SCXW124744381 BCX0"" data-contrast=""auto""><span class=""NormalTextRun SCXW124744381 BCX0""></span></span>
</li>
<li class=""Paragraph SCXW124744381 BCX0"">
<span class=""TextRun SCXW124744381 BCX0"" data-contrast=""auto""><span class=""NormalTextRun SCXW124744381 BCX0"">Made in Sweden with</span><span class=""NormalTextRun SCXW124744381 BCX0""> full-grain</span><span class=""NormalTextRun SCXW124744381 BCX0"">, sustainably sourced</span><span class=""NormalTextRun SCXW124744381 BCX0""> leather</span></span><span data-ccp-props=""{}"" class=""EOP SCXW124744381 BCX0""> </span>
</li>
</ul>
</div>
<div class=""OutlineElement Ltr SCXW124744381 BCX0"">
<p class=""Paragraph SCXW124744381 BCX0""><span class=""TextRun SCXW124744381 BCX0"" data-contrast=""auto""><span class=""NormalTextRun SCXW124744381 BCX0""></span></span><span data-ccp-props=""{}"" class=""EOP SCXW124744381 BCX0""> </span></p>
</div>",
PRODUCT,'10031775056215,handle,nl,,,gnarp-outdoor-leather-multi-guard,
PRODUCT,'10031775056215,product_type,nl,,,"",
PRODUCT,'10057729507671,title,nl,,,Quirk Saws,
PRODUCT,'10057729507671,body_html,nl,,,"<h3 data-end=""671"" data-start=""617"">Same performance. Small quirks. Lower impact.</h3>
<p data-end=""925"" data-start=""673"">As part of our sustainability promise, we offer a very limited number of Woxna saws with minor cosmetic quirks. These are fully functional tools, built with the same blade quality, locking precision, and ergonomic design you’d expect from any Woxna saw.</p>
<p data-end=""1056"" data-start=""927"">The quirks might include:</p>
<p data-end=""1056"" data-start=""927""><meta charset=""utf-8"">– Unusual color for the wood (especially light colors of walnut)<br>– Mismatched handle tones between left and right handle-half <br data-end=""1022"" data-start=""1019"">– Wood grain irregularities or scrapes on the blade </p>
<p data-end=""1226"" data-start=""1058"">These saws are perfect for those who value performance and sustainability over perfection. Functionally flawless, mechanically identical, just with a bit more character.</p>
<p data-end=""1282"" data-start=""1228"">Quantities are extremely limited and change over time. Please note that the quirked batch is sent out in our old product packaging, if you really want the new please send us an e-mail after your order has been placed. </p>
<p data-end=""1496"" data-start=""1284""><em data-end=""1362"" data-start=""1287"">To learn more about each saw model, visit their respective product pages.</em></p>",
PRODUCT,'10057729507671,handle,nl,,,quirked-batch,
PRODUCT,'10057729507671,product_type,nl,,,"",
PRODUCT,'10057729507671,meta_description,nl,,,"Same performance. Small quirks. Lower impact. As part of our sustainability promise, we offer a very limited number of Woxna saws with minor cosmetic quirks. These are fully functional tools, built with the same blade quality, locking precision, and ergonomic design you’d expect from any Woxna saw. ",
PRODUCT,'10071259840855,title,nl,,,Spare Sawblades Woxna,
PRODUCT,'10071259840855,body_html,nl,,,"<h3 data-end=""672"" data-start=""616"">
<meta charset=""utf-8"">Designed to last &amp; made to be repaired </h3>
<p data-end=""794"" data-start=""645"">Our ambition is for Woxna saws to be used, loved, and taken care of for as long as possible. That’s why we build them to endure and to be repairable.</p>
<p data-end=""985"" data-start=""796"">If your blade starts to feel dull or the locking mechanism isn’t as firm as it once was, don’t throw away your saw. </p>
<h3 data-end=""672"" data-start=""616"">Restore your Woxna saw to its original precision</h3>
<p data-end=""912"" data-start=""674"">Each Woxna spare parts kit includes everything you need to bring your saw back to peak condition:<br data-end=""774"" data-start=""771"">– A brand-new sawblade<br data-end=""799"" data-start=""796"">– A replacement middle brick (which is a part of the locking mechanism)<br data-end=""862"" data-start=""859"">– New screws<br data-end=""877"" data-start=""874"">– Two Torx keys for simple assembly</p>
<p data-end=""1055"" data-start=""914"">With this kit, and a touch of oil on your wooden handles, your Woxna saw will feel just as smooth, sharp, and solid as the day you first used it. </p>
<p data-end=""1055"" data-start=""914""><meta charset=""utf-8"">When mounting a new saw blade on your Woxna saw, we recommend using a small amount of threadlocker on the front screw, for example Loctite Blue No. 243.</p>
<p data-end=""1192"" data-start=""1057"">Questions about compatibility or installation? <a rel=""noopener"" class=""cursor-pointer"" data-end=""1188"" data-start=""1104"">Contact us anytime at hello@woxna.com</a></p>",
PRODUCT,'10071259840855,handle,nl,,,spare-sawblades,
PRODUCT,'10071259840855,product_type,nl,,,"",
PRODUCT,'10071259840855,meta_description,nl,,,"Designed to last & made to be repaired. Our ambition is for Woxna saws to be used, loved, and taken care of for as long as possible. That’s why we build them to endure and to be repairable. If your blade starts to feel dull or the locking mechanism isn’t as firm as it once was, don’t throw away your saw. Restore your Woxna saw to its original precision Each Woxna spare parts kit includes everything you need to bring your saw back to peak condition:– A brand-new sawblade– A replacement middle brick (which is a part of the locking mechanism)– New screws– Two Torx keys for simple assembly With this kit, and a touch of oil on your wooden handles, your Woxna saw will feel just as smooth, sharp, and solid as the day you first used it. Questions about compatibility or installation? Contact us anytime at hello@woxna.com",
PRODUCT,'10265369805143,title,nl,,,Woxna leather key chain,
PRODUCT,'10265369805143,body_html,nl,,,"<p data-start=""535"" data-end=""644"">Keychain made from vegetable-tanned leather, embossed with the Woxna logo, with a ring in antique gold.</p>
<p> </p>",
PRODUCT,'10265369805143,handle,nl,,,woxna-leather-key-chain,
PRODUCT,'10265369805143,product_type,nl,,,"",
PRODUCT,'10423779787095,title,nl,,,Alfta  - Leather Sheath for Foldable Saw,
PRODUCT,'10423779787095,body_html,nl,,,"<div id=""lipsum"">
<ul>
<li>Leather sheaths for Woxna foldable saws: Ljusnan, Hälsing and Söderfors</li>
<li>Has a belt loop as well as a dangler with press button for easy removal and a ergonomic carry</li>
<li>Made in Spain from durable, vegetable-tanned leather</li>
<li>Please note, this product is only the leather sheath and does not include a saw. If you are looking for a combo of sheath and saw, please choose a set instead. </li>
</ul>
</div>",
PRODUCT,'10423779787095,handle,nl,,,alfta-sheath,
PRODUCT,'10423779787095,product_type,nl,,,"",
PRODUCT,'10424205279575,title,nl,,,Ljusnan 250 mm/10″ & Alfta sheath set,
PRODUCT,'10424205279575,body_html,nl,,,"<p><meta charset=""utf-8"">This set combines the Ljusnan 250 mm / 10″ stainless-steel saw with walnut handle, with the Alfta cognac leather sheath, purpose-built to fit perfectly together.</p>
<p>Both pieces are delivered in a single, elegant package - ideal for gifting. </p>
<p> </p>
<p><meta charset=""utf-8""><strong>Learn more about the Ljusnan 250 mm/10″:</strong></p>
<p><a title=""Ljusnan"" href=""https://woxna.com/products/ljusnan-foldable-saw"">Ljusnan product details</a><br><br><strong>Learn more about the Alfta sheath:</strong></p>
<p><a title=""Alfta leather sheath"" href=""https://woxna.com/products/alfta-sheath"">Alfta product details</a></p>",
PRODUCT,'10424205279575,handle,nl,,,ljusnan-250-alfta-sheath-bundle,
PRODUCT,'10424205279575,product_type,nl,,,"",
PRODUCT,'10424237457751,title,nl,,,Ljusnan 180 mm/7″ & Alfta sheath set,
PRODUCT,'10424237457751,body_html,nl,,,"<p>This set combines the Ljusnan 180 mm / 7″ stainless-steel saw with walnut handle, with the Alfta 180 mm cognac leather sheath, purpose-built to fit perfectly together.</p>
<p>Both pieces are delivered in a single, elegant package - ideal for gifting. </p>
<p> </p>
<p><meta charset=""utf-8""><strong>Learn more about the Ljusnan 180 mm/7'':</strong></p>
<p><a href=""https://woxna.com/products/ljusnan-foldable-saw"" title=""Ljusnan"">Ljusnan product details</a><br><br><strong>Learn more about the Alfta sheath:</strong></p>
<p><a href=""https://woxna.com/products/alfta-sheath"" title=""Alfta leather sheath"">Alfta product details</a></p>",
PRODUCT,'10424237457751,handle,nl,,,ljusnan-180-allfta-sheath-bundle,
PRODUCT,'10424237457751,product_type,nl,,,"",
PRODUCT,'10424245158231,title,nl,,,Hälsing 180 mm/7″ & Alfta sheath set,
PRODUCT,'10424245158231,body_html,nl,,,"<p data-start=""501"" data-end=""661"">This set combines the Hälsing 180 mm / 7″ carbon-steel saw in oak with the Alfta black leather sheath, purpose-built to fit perfectly together.</p>
<p data-start=""663"" data-end=""738"">Both pieces are delivered in a single, elegant package - ideal for gifting.</p>
<p data-start=""663"" data-end=""738""> </p>
<p data-start=""663"" data-end=""738""><meta charset=""utf-8""><strong>Learn more about the Hälsing 180 mm<meta charset=""utf-8"">/7″:</strong></p>
<p><a title=""Hälsing"" href=""https://woxna.com/products/halsing-foldable-saw"">Read more about Hälsing</a></p>
<p><strong><meta charset=""utf-8"">Learn more about the Alfta sheath:</strong></p>
<p><a title=""Alfta leather sheath"" href=""https://woxna.com/products/alfta-sheath"">Read more about Alfta</a></p>",
PRODUCT,'10424245158231,handle,nl,,,halsing-180-alfta-sheath-bundle,
PRODUCT,'10424245158231,product_type,nl,,,"",
PRODUCT,'10424271208791,title,nl,,,Hälsing 250 mm/10″ & Alfta sheath set,
PRODUCT,'10424271208791,body_html,nl,,,"<p data-end=""661"" data-start=""501"">This set combines the Hälsing 250 mm / 10″ carbon-steel saw in black with the Alfta black leather sheath, purpose-built to fit perfectly together.</p>
<p data-end=""738"" data-start=""663"">Both pieces are delivered in a single, elegant package - ideal for gifting.</p>
<p data-end=""738"" data-start=""663""> </p>
<p data-end=""738"" data-start=""663""><meta charset=""utf-8""><strong>Learn more about the Hälsing 250 mm<meta charset=""utf-8"">/10″:</strong></p>
<p><a href=""https://woxna.com/products/halsing-foldable-saw"" title=""Hälsing"">Read more about Hälsing</a></p>
<p><strong><meta charset=""utf-8"">Learn more about the Alfta sheath:</strong></p>
<p><a href=""https://woxna.com/products/alfta-sheath"" title=""Alfta leather sheath"">Read more about Alfta</a></p>
<p><br><!-- notionvc: 8518cd56-d12d-4bc4-b138-10c320172187 --></p>",
PRODUCT,'10424271208791,handle,nl,,,halsing-250-alfta-sheat-bundle,
PRODUCT,'10424271208791,product_type,nl,,,"",
PRODUCT,'10560358515031,title,nl,,,Woxna Linseed Oil,
PRODUCT,'10560358515031,body_html,nl,,,"<p><meta charset=""utf-8"">A well-maintained tool will last for decades. To ensure a long service life of your Woxna saw, we recommend regular care of both the wooden handle and the steel blade. Our care oils come in 100 ml (3.4 fl oz) cans and are based on a special refined linseed oil where the non-drying components have been removed to create a even better protection for wood and steel. These oils are environmentally friendly and locally produced in Sweden. </p>
<p><strong>Safety note: </strong>Oil-soaked cloths may self-ignite. Allow cloths to dry fully in an open, safe place, or store them in water before disposal.</p>",
PRODUCT,'10560358515031,handle,nl,,,linseed-oil,
PRODUCT,'10560358515031,product_type,nl,,,"",
PRODUCT_OPTION,'12362393289047,name,nl,,,Denominations,
PRODUCT_OPTION,'12644463018327,name,nl,,,Size,
PRODUCT_OPTION,'12680428683607,name,nl,,,Title,
PRODUCT_OPTION,'12727055188311,name,nl,,,Model name ,
PRODUCT_OPTION,'12751572107607,name,nl,,,Model ,
PRODUCT_OPTION,'12956451897687,name,nl,,,Title,
PRODUCT_OPTION,'13044624818519,name,nl,,,Length,
PRODUCT_OPTION,'13111097426263,name,nl,,,Length,
PRODUCT_OPTION,'13122956886359,name,nl,,,Length,
PRODUCT_OPTION,'13144490344791,name,nl,,,Size/Color,
PRODUCT_OPTION,'13144961253719,name,nl,,,Title,
PRODUCT_OPTION,'13144994546007,name,nl,,,Title,
PRODUCT_OPTION,'13145003458903,name,nl,,,Title,
PRODUCT_OPTION,'13145033113943,name,nl,,,Title,
PRODUCT_OPTION,'13302856122711,name,nl,,,Type of oil,
PRODUCT_OPTION_VALUE,'5218854142295,name,nl,,,kr 500,
PRODUCT_OPTION_VALUE,'5218854175063,name,nl,,,kr 1000,
PRODUCT_OPTION_VALUE,'6117417353559,name,nl,,,Default Title,
PRODUCT_OPTION_VALUE,'6292805189975,name,nl,,,Hälsning 180 mm,
PRODUCT_OPTION_VALUE,'6292808237399,name,nl,,,Ljusnan 180 mm (7 in),
PRODUCT_OPTION_VALUE,'6292808892759,name,nl,,,Ljusnan 250 mm (10 in),
PRODUCT_OPTION_VALUE,'6293416968535,name,nl,,,Ljusnan 180 mm (7 in),
PRODUCT_OPTION_VALUE,'6304460964183,name,nl,,,Ljusnan 250 mm (10 in),
PRODUCT_OPTION_VALUE,'6936363532631,name,nl,,,Default Title,
PRODUCT_OPTION_VALUE,'7259304493399,name,nl,,,250 mm / 10 inch,
PRODUCT_OPTION_VALUE,'7259304526167,name,nl,,,180 mm / 7 inch,
PRODUCT_OPTION_VALUE,'7450423132503,name,nl,,,250 mm / 10 inch,
PRODUCT_OPTION_VALUE,'7450423165271,name,nl,,,180 mm / 7 inch,
PRODUCT_OPTION_VALUE,'7482473054551,name,nl,,,Hälsing 250 mm (10 in),
PRODUCT_OPTION_VALUE,'7482473906519,name,nl,,,Hälsing 180 mm (7 in),
PRODUCT_OPTION_VALUE,'7489502773591,name,nl,,,250 mm / 10 inch,
PRODUCT_OPTION_VALUE,'7489502806359,name,nl,,,180 mm / 7 inch,
PRODUCT_OPTION_VALUE,'7502321811799,name,nl,,,Hälsing 180 mm (7 in),
PRODUCT_OPTION_VALUE,'7502322401623,name,nl,,,Hälsing 250 mm (10 in),
PRODUCT_OPTION_VALUE,'7557857280343,name,nl,,,Default Title,
PRODUCT_OPTION_VALUE,'7557935268183,name,nl,,,Default Title,
PRODUCT_OPTION_VALUE,'7557960565079,name,nl,,,Default Title,
PRODUCT_OPTION_VALUE,'7558041502039,name,nl,,,Default Title,
PRODUCT_OPTION_VALUE,'7578624098647,name,nl,,,250 mm / Black,
PRODUCT_OPTION_VALUE,'7578624557399,name,nl,,,180 mm / Cognac,
PRODUCT_OPTION_VALUE,'7578625704279,name,nl,,,250 mm / Cognac,
PRODUCT_OPTION_VALUE,'7580760932695,name,nl,,,180 mm / Black,
PRODUCT_OPTION_VALUE,'8020024492375,name,nl,,,Wood care oil,
PRODUCT_OPTION_VALUE,'8020024525143,name,nl,,,Rust protection oil,
